Gene_Symbol	idgTDL_old	idgTDL_new	druggability_tier	cancer_druggability	ab_bucket_num	ab_bucket_name	sm_bucket_num	sm_bucket_name	protac_bucket_num	protac_bucket_name	task_pharos_tclin_vs_others	task_pharos_tclin_tchem_vs_others	task_triage_tier1_vs_others	task_triage_tier12_vs_others	task_cancer_druggability	task_ab_bucket1_vs_others	task_ab_bucket123_vs_others	task_sm_bucket1_vs_others	task_sm_bucket123_vs_others	task_protac_bucket1234_vs_others	task_cancer_type_specific_target_prioritization	task_pan_cancer_target_prioritization	task_T1_targets_only	task_T1_T2_targets	task_T1_T2_T3_targets
CDC23	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC25A	Tchem	TCHEM	Tier 2	1		Not_Assigned	5.0	5_High-Quality Ligand	5.0	5_UniProt Ubiquitination	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CDC25B	Tchem	TCHEM	Tier 2	1		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CDC25C	Tchem	TCHEM	Tier 2	1		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CDC26	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC27	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC34	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC37	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC37L1	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC40	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42	Tchem	TCHEM	Tier 2	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CDC42BPA	Tchem	TCHEM	Tier 2	0	9.0	9_Human Protein Atlas loc	5.0	5_High-Quality Ligand	6.0	6_Database Ubiquitination	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CDC42BPB	Tbio	TCHEM	Tier 2	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDC42BPG	Tbio	TCHEM	Tier 2	0		Not_Assigned	5.0	5_High-Quality Ligand	6.0	6_Database Ubiquitination	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDC42EP1	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42EP2	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42EP3	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42EP4	Tdark	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42EP5	Tbio	TBIO	-1	0	6.0	6_UniProt loc med conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42SE1	Tdark	TDARK	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42SE2	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC45	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC5L	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC6	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC7	Tchem	TCHEM	Tier 2	0		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1
CDC73	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA2	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA3	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA4	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA5	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA7	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA7L	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA8	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCP1	Tbio	TBIO	Tier 3B	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCP2	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH1	Tbio	TBIO	Tier 3A	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CDH10	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH11	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH12	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH13	Tbio	TBIO	Tier 3A	0	5.0	5_GO CC high conf		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH15	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH16	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH17	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH18	Tdark	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH19	Tdark	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH2	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
CDH20	Tbio	TBIO	-1	0	6.0	6_UniProt loc med conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH22	Tbio	TBIO	-1	0	6.0	6_UniProt loc med conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH23	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH24	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH26	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH3	Tbio	TBIO	Tier 1	0	3.0	3_Phase 1 Clinical	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
CDH4	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH5	Tbio	TBIO	Tier 3B	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH6	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH7	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH8	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH9	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDHR1	Tbio	TBIO	-1	0	6.0	6_UniProt loc med conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDHR2	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDHR3	Tdark	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDHR4	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDHR5	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDIP1	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDIPT	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CDK1	Tchem	TCHEM	Tier 1	1		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1
CDK10	Tbio	TCHEM	Tier 3B	0		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
CDK11A	Tchem	TCHEM	Tier 2	0		Not_Assigned	5.0	5_High-Quality Ligand	4.0	4_Literature	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
CDK11B	Tchem	TCHEM	Tier 2	0		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0
CDK12	Tchem	TCHEM	Tier 3B	0		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1
CDK13	Tchem	TCHEM	Tier 1	0	5.0	5_GO CC high conf	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1
CDK14	Tchem	TCHEM	Tier 2	0	5.0	5_GO CC high conf	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0
CDK15	Tchem	TCHEM	Tier 2	0		Not_Assigned	2.0	2_Advanced Clinical	6.0	6_Database Ubiquitination	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
CDK16	Tchem	TCHEM	Tier 1	1	4.0	4_UniProt loc high conf	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0
CDK17	Tchem	TCHEM	Tier 2	1		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0
CDK18	Tchem	TCHEM	Tier 2	0		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0
CDK19	Tchem	TCHEM	Tier 1	0		Not_Assigned	2.0	2_Advanced Clinical	6.0	6_Database Ubiquitination	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1
CDK2	Tchem	TCHEM	Tier 1	1		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1
CDK20	Tbio	TBIO	Tier 3B	0		Not_Assigned	2.0	2_Advanced Clinical	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CDK2AP1	Tbio	TBIO	-1	0		Not_Assigned	7.0	7_Med-Quality Pocket	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK2AP2	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK3	Tchem	TCHEM	Tier 2	0		Not_Assigned	2.0	2_Advanced Clinical	6.0	6_Database Ubiquitination	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1
CDK4	Tclin	TCLIN	Tier 1	1		Not_Assigned	1.0	1_Approved Drug	4.0	4_Literature	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
CDK5	Tchem	TCHEM	Tier 1	1	4.0	4_UniProt loc high conf	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1
CDK5R1	Tchem	TCHEM	Tier 1	1	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CDK5R2	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5RAP1	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5RAP2	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5RAP3	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK6	Tclin	TCLIN	Tier 1	1		Not_Assigned	1.0	1_Approved Drug	4.0	4_Literature	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1
CDK7	Tchem	TCHEM	Tier 1	1	5.0	5_GO CC high conf	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1
CDK8	Tchem	TCHEM	Tier 1	0		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1
CDK9	Tchem	TCHEM	Tier 1	1		Not_Assigned	2.0	2_Advanced Clinical	4.0	4_Literature	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1
CDKAL1	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL1	Tchem	TCHEM	Tier 2	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CDKL2	Tchem	TCHEM	Tier 1	0		Not_Assigned	4.0	4_Structure with Ligand	8.0	8_Small Molecule Binder	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
CDKL3	Tchem	TCHEM	Tier 2	0		Not_Assigned	4.0	4_Structure with Ligand	8.0	8_Small Molecule Binder	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CDKL4	Tdark	TDARK	Tier 3B	0		Not_Assigned	8.0	8_Druggable Family		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL5	Tchem	TCHEM	Tier 1	1		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CDKN1A	Tbio	TCHEM	Tier 2	0		Not_Assigned	8.0	8_Druggable Family	5.0	5_UniProt Ubiquitination	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDKN1B	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN1C	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A-AS1	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2AIP	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2AIPNL	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2B	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2C	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2D	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN3	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDNF	Tbio	TBIO	Tier 3B	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDO1	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDON	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDPF1	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDR1	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDR2	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDR2L	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT15	Tdark	TDARK	-1	0	9.0	9_Human Protein Atlas loc		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT15L2	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT4	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS1	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS2	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CDSN	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDT1	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDV3	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDX1	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDX2	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
CDX4	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY1	Tbio	TCHEM	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY2A	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDYL	Tbio	TCHEM	-1	0		Not_Assigned	5.0	5_High-Quality Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDYL2	Tbio	TCHEM	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM1	Tbio	TBIO	Tier 3B	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM16	Tbio	TBIO	Tier 3A	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM18	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM19	Tdark	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM20	Tdark	TDARK	-1	0	6.0	6_UniProt loc med conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM21	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM3	Tbio	TBIO	Tier 1	0	5.0	5_GO CC high conf		Not_Assigned		Not_Assigned	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CEACAM4	Tdark	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM5	Tbio	TBIO	Tier 1	0	1.0	1_Approved Drug	4.0	4_Structure with Ligand		Not_Assigned	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1
CEACAM6	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CEACAM7	Tbio	TBIO	Tier 3B	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM8	Tbio	TBIO	Tier 3B	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPA	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CEBPB	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPD	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPE	Tbio	TBIO	-1	0	5.0	5_GO CC high conf	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPG	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	5.0	5_UniProt Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPZ	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPZOS	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CECR2	Tchem	TCHEM	-1	0		Not_Assigned	4.0	4_Structure with Ligand	8.0	8_Small Molecule Binder	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CECR9	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEL	Tchem	TCHEM	Tier 2	0	4.0	4_UniProt loc high conf	6.0	6_High-Quality Pocket	8.0	8_Small Molecule Binder	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CELA1	Tchem	TCHEM	Tier 1	0	6.0	6_UniProt loc med conf	8.0	8_Druggable Family	8.0	8_Small Molecule Binder	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
